location,Year_2016,Year_2017,Year_2018,Year_2019
Andhra Pradesh,117,170,691,0
Delhi,37,0,40,0
Assam,57,57,336,40
Bihar,178,40,1022,0
Chhattisgarh,183,0,589,0
Arunachal Pradesh,32,0,80,0
Goa,0,0,40,0
Gujarat,192,21,599,82
Haryana,197,40,318,0
Meghalaya,37,0,140,0
JammuÿandÿKashmir,70,62,564,0
Jharkhand,146,0,648,0
Karnataka,72,38,767,0
Kerala,75,20,389,0
Madhya Pradesh,204,80,1428,0
Maharashtra,292,78,1189,0
Manipur,77,0,254,20
Himachal Pradesh,111,16,380,0
Mizoram,79,22,110,0
Nagaland,105,90,231,57
Odisha,90,0,923,0
Punjab,224,101,620,90
Rajasthan,351,174,1295,20
Sikkim,30,0,40,0
Tamil Nadu,185,20,520,40
Telangana,75,40,522,118
Tripura,39,0,100,0
West Bengal,143,29,756,0
